"Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
3.8212,0.244,236.03,12.0,0.0,19.0,0.0
6.13002,0.204,234.97,15.4,0.0,32.0,1.0
3.89795,0.21,235.85,12.0,0.0,20.0,0.0
6.24466,0.194,235.98,15.8,0.0,33.0,1.0
2.852,0.21,236.07,12.0,0.0,20.0,1.0
4.0167,0.17,235.37,15.8,0.0,34.0,0.0
5.133,0.06,236.6,11.4,0.0,18.0,1.0
4.06565,0.0,236.41,14.0,0.0,29.0,1.0
4.48046,0.0,235.97,12.0,0.0,19.0,0.0
4.52004,0.0,236.76,13.2,0.0,26.0,1.0
4.61393,0.0,237.35,12.8,0.0,23.0,0.0
2.458,0.0,237.88,10.8,0.0,16.0,1.0
2.04,0.0,237.94,8.6,0.0,7.0,1.0
5.0615,0.0,237.86,11.6,0.0,18.0,0.0
4.01995,0.0,236.34,15.6,0.0,35.0,1.0
2.604,0.0,237.71,11.0,0.0,18.0,1.0
3.44,0.0,236.85,14.6,0.0,30.0,0.0
2.57,0.0,237.94,10.8,0.0,16.0,1.0
6.39385,0.0,236.86,14.4,0.0,30.0,1.0
4.789,0.0,237.58,11.2,0.0,17.0,0.0
3.15,0.0,237.15,13.4,0.0,27.0,1.0
3.562,0.0,237.02,12.6,0.0,22.0,0.0
3.5031,0.0,237.82,11.6,0.0,19.0,1.0
1.97,0.0,238.91,8.2,0.0,5.0,1.0
3.3695,0.0,238.56,11.0,0.0,17.0,0.0
3.73,0.0,237.34,15.6,0.0,35.0,1.0
3.62266,0.0,237.99,11.8,0.0,21.0,1.0
3.40155,0.0,236.27,14.2,0.0,28.0,0.0
3.39175,0.0,237.75,11.2,0.0,18.0,1.0
3.3825,0.11,237.58,14.8,0.0,31.0,1.0
3.35445,0.158,238.12,11.4,0.0,16.0,0.0
3.3403,0.152,237.47,14.2,0.0,27.0,1.0
3.88726,0.208,237.62,11.6,0.0,16.0,0.0
2.84,0.166,237.17,12.4,0.0,19.0,1.0
2.78835,0.148,236.4,12.6,0.0,22.0,1.0
1.888,0.158,237.06,8.0,0.0,4.0,0.0
