"Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
1.064,0.172,241.13,4.4,0.0,0.0,0.0
1.074,0.178,242.21,4.4,0.0,0.0,0.0
0.9706,0.176,242.01,4.4,0.0,0.0,0.0
0.98675,0.18,242.79,4.4,0.0,0.0,0.0
1.00295,0.182,243.15,4.4,0.0,0.0,0.0
1.01915,0.184,243.31,4.4,0.0,0.0,0.0
1.07,0.178,242.21,4.4,0.0,0.0,0.0
1.124,0.244,241.54,4.8,0.0,0.0,0.0
1.142,0.3,241.87,4.8,0.0,1.0,0.0
1.17,0.196,241.83,4.8,0.0,2.0,0.0
1.10675,0.162,241.42,4.4,0.0,1.0,0.0
1.1231,0.166,242.46,4.4,0.0,2.0,0.0
1.1368,0.166,242.19,4.4,0.0,1.0,0.0
1.054,0.166,242.17,4.4,0.0,1.0,0.0
1.17275,0.166,242.58,4.4,0.0,2.0,0.0
1.19165,0.194,241.55,4.6,0.0,1.0,0.0
1.16,0.262,240.43,5.0,0.0,2.0,0.0
1.2456,0.266,239.64,7.6,0.0,1.0,0.0
2.204,0.38,238.82,9.4,0.0,1.0,0.0
2.064,0.256,239.92,8.6,0.0,2.0,0.0
2.298,0.254,239.86,9.6,0.0,1.0,0.0
2.278,0.254,239.89,9.4,0.0,1.0,0.0
1.44,0.26,240.26,8.4,0.0,2.0,0.0
2.766,0.256,239.38,12.2,0.0,1.0,5.0
2.32275,0.262,238.36,18.0,0.0,1.0,18.0
2.40675,0.188,238.84,17.6,0.0,2.0,18.0
2.49165,0.16,238.87,17.6,0.0,1.0,18.0
2.5764,0.16,238.96,17.4,0.0,1.0,17.0
2.66065,0.158,238.45,17.4,0.0,1.0,18.0
4.162,0.158,238.1,17.4,0.0,1.0,17.0
2.8211,0.16,238.75,17.4,0.0,2.0,18.0
2.8963,0.088,239.12,17.2,0.0,0.0,18.0
2.9743,0.0,238.78,17.2,0.0,0.0,17.0
4.162,0.098,238.57,17.4,0.0,0.0,18.0
4.224,0.172,239.06,17.6,0.0,0.0,17.0
4.182,0.166,237.85,17.6,0.0,0.0,17.0
4.168,0.166,237.46,17.4,0.0,0.0,18.0
3.3656,0.164,237.23,17.4,0.0,0.0,17.0
3.447,0.164,237.57,18.2,0.0,0.0,17.0
3.52875,0.164,237.47,18.2,0.0,0.0,18.0
3.61855,0.156,236.37,19.6,0.0,0.0,17.0
3.7123,0.154,236.4,20.4,0.0,0.0,17.0
3.7887,0.152,237.19,17.6,0.0,0.0,17.0
3.372,0.154,239.14,14.0,0.0,0.0,18.0
3.258,0.152,238.67,13.6,0.0,0.0,17.0
3.2129,0.104,237.25,15.2,0.0,0.0,17.0
4.268,0.122,236.44,18.0,0.0,0.0,17.0
3.478,0.088,238.14,14.6,0.0,0.0,18.0
2.414,0.0,239.62,10.0,0.0,0.0,17.0
2.392,0.0,239.39,10.0,0.0,0.0,18.0
2.978,0.0,238.27,12.6,0.0,0.0,17.0
3.078,0.0,237.94,12.8,0.0,0.0,18.0
3.56425,0.0,238.33,13.0,0.0,0.0,17.0
3.47,0.112,237.65,14.6,0.0,0.0,17.0
3.68585,0.11,237.19,14.8,0.0,0.0,18.0
3.7453,0.106,235.56,14.6,0.0,0.0,17.0
3.80295,0.104,235.39,14.6,0.0,0.0,17.0
3.83935,0.108,235.81,13.8,0.0,0.0,17.0
3.8638,0.114,236.7,13.4,0.0,0.0,17.0
3.186,0.116,236.93,13.4,0.0,0.0,17.0
3.91375,0.116,236.51,13.4,0.0,0.0,17.0
3.196,0.122,237.55,13.4,0.0,0.0,17.0
3.96585,0.122,237.78,13.4,0.0,0.0,18.0
3.9755,0.0,238.64,13.2,0.0,0.0,17.0
3.15,0.0,238.96,13.2,0.0,0.0,18.0
3.112,0.0,237.21,13.0,0.0,0.0,17.0
3.1,0.0,236.31,13.0,0.0,0.0,17.0
